rank,word,lemma,occurrences_ppm
600,oye,oye,182.80651006242306
601,adentro,adentro,182.80651006242306
602,pensaba,pensaba,182.80651006242306
603,ooh,ooh,182.80651006242306
604,when,when,182.80651006242306
605,suelto,suelto,182.80651006242306
606,someone,someone,182.80651006242306
607,nosotros,nosotros,177.42984800176353
608,ojo',ojo',177.42984800176353
609,í,í,177.42984800176353
610,quiera',quiera',177.42984800176353
611,final,final,177.42984800176353
612,say,say,177.42984800176353
613,bang,bang,177.42984800176353
614,combo,combo,177.42984800176353
615,lleva,lleva,177.42984800176353
616,aún,aún,177.42984800176353
617,año,año,177.42984800176353
618,nacer,nacer,177.42984800176353
619,cosas,cosas,177.42984800176353
620,shh,shh,177.42984800176353
621,luego,luego,177.42984800176353
622,amanecer,amanecer,172.05318594110403
623,salgo,salgo,172.05318594110403
624,frío,frío,172.05318594110403
625,luz,luz,172.05318594110403
626,hmm,hmm,172.05318594110403
627,querer,querer,172.05318594110403
628,ir,ir,172.05318594110403
629,myers,myers,172.05318594110403
630,falta,falta,172.05318594110403
631,tuve,tuve,172.05318594110403
632,demonia,demonia,172.05318594110403
633,estas,estas,172.05318594110403
634,amo,amo,172.05318594110403
635,entero,entero,172.05318594110403
636,momento,momento,172.05318594110403
637,salga,salga,166.67652388044453
638,bailar,bailar,166.67652388044453
639,olvido,olvido,166.67652388044453
640,puro,puro,166.67652388044453
641,caso,caso,166.67652388044453
642,vivir,vivir,166.67652388044453
643,d,d,166.67652388044453
644,cuida'o,cuida'o,166.67652388044453
645,puerta,puerta,166.67652388044453
646,viendo,viendo,166.67652388044453
647,m,m,166.67652388044453
648,blunt,blunt,166.67652388044453
649,rica,rica,166.67652388044453
650,tiro,tiro,166.67652388044453
651,hace',hace',161.29986181978506
652,colaboración,colaboración,161.29986181978506
653,nena,nena,161.29986181978506
654,fácil,fácil,161.29986181978506
655,le',le',161.29986181978506
656,dejas,dejas,161.29986181978506
657,meno',meno',161.29986181978506
658,meter,meter,161.29986181978506
659,debajo,debajo,161.29986181978506
660,bonito,bonito,161.29986181978506
661,alcohol,alcohol,161.29986181978506
662,suerte,suerte,161.29986181978506
663,even,even,161.29986181978506
664,rra,rra,161.29986181978506
665,mojaíta',mojaíta',161.29986181978506
666,parte,parte,161.29986181978506
667,bellaco,bellaco,161.29986181978506
668,rato,rato,161.29986181978506
669,quedo,quedo,161.29986181978506
670,besos,besos,161.29986181978506
671,bichote,bichote,161.29986181978506
672,dormir,dormir,155.92319975912554
673,dejó,dejó,155.92319975912554
674,amar,amar,155.92319975912554
675,hot,hot,155.92319975912554
676,babie',babie',155.92319975912554
677,fumando,fumando,155.92319975912554
678,bailando,bailando,155.92319975912554
679,novia',novia',155.92319975912554
680,off,off,155.92319975912554
681,cuello,cuello,155.92319975912554
682,come,come,155.92319975912554
683,primer,primer,155.92319975912554
684,wua,wua,155.92319975912554
685,cabra,cabra,155.92319975912554
686,ves,ves,155.92319975912554
687,k,k,155.92319975912554
688,austin,austin,155.92319975912554
689,plan,plan,155.92319975912554
690,preguntó,preguntó,155.92319975912554
691,día',día',155.92319975912554
692,dejaste,dejaste,155.92319975912554
693,toda,toda,155.92319975912554
694,beat,beat,155.92319975912554
695,acabó,acabó,155.92319975912554
696,mama,mama,155.92319975912554
697,pelo,pelo,150.54653769846604
698,or,or,150.54653769846604
699,respeto,respeto,150.54653769846604
700,suelta,suelta,150.54653769846604
701,lebron,lebron,150.54653769846604
702,tell,tell,150.54653769846604
703,vive,vive,150.54653769846604
